Sample in Buffer,Sample in Window,TRIGGER,clk_vector,trigger_adc_buf_in[7:0],trig_vector,diff[8:0],prev_frame_adc[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,HEX,SIGNED,UNSIGNED
270,270,0,1,148,0,0,148
271,271,0,0,148,0,0,148
272,272,0,0,148,0,0,148
273,273,0,0,148,0,0,148
274,274,0,1,148,0,0,148
275,275,0,1,148,0,0,148
276,276,0,0,148,0,0,148
277,277,0,0,148,0,0,148
278,278,0,0,148,0,0,148
279,279,0,1,148,0,0,148
280,280,0,1,148,0,0,148
281,281,0,0,148,0,0,148
282,282,0,0,147,0,0,148
283,283,0,0,147,0,0,148
284,284,0,1,147,0,0,148
285,285,0,1,147,0,0,148
286,286,0,0,147,0,0,148
287,287,0,0,148,0,1,148
288,288,0,0,148,0,1,148
289,289,0,1,148,0,1,148
290,290,0,1,148,0,1,148
291,291,0,0,148,0,1,148
292,292,0,0,148,0,0,148
293,293,0,0,148,0,0,148
294,294,0,1,148,0,0,148
295,295,0,1,148,0,0,148
296,296,0,0,148,0,0,148
297,297,0,0,148,0,0,148
298,298,0,0,148,0,0,148
299,299,0,1,148,0,0,148
300,300,0,1,148,0,0,148
301,301,0,0,148,0,0,148
302,302,0,0,148,0,0,148
303,303,0,0,148,0,0,148
304,304,0,1,148,0,0,148
305,305,0,1,148,0,0,148
306,306,0,0,148,0,0,148
307,307,0,0,148,0,0,148
308,308,0,0,148,0,0,148
309,309,0,1,148,0,0,148
310,310,0,1,148,0,0,148
311,311,0,0,148,0,0,148
312,312,0,0,148,0,0,148
313,313,0,0,148,0,0,148
314,314,0,1,148,0,0,148
315,315,0,1,148,0,0,148
316,316,0,0,148,0,0,148
317,317,0,0,148,0,0,148
318,318,0,0,148,0,0,148
319,319,0,1,148,0,0,148
320,320,0,1,148,0,0,148
321,321,0,0,148,0,0,148
322,322,0,0,148,0,0,148
323,323,0,0,148,0,0,148
324,324,0,1,148,0,0,148
325,325,0,1,148,0,0,148
326,326,0,0,148,0,0,148
327,327,0,0,148,0,0,148
328,328,0,0,148,0,0,148
329,329,0,1,148,0,0,148
330,330,0,1,148,0,0,148
331,331,0,0,148,0,0,148
332,332,0,0,148,0,0,148
333,333,0,0,148,0,0,148
334,334,0,1,148,0,0,148
335,335,0,1,148,0,0,148
336,336,0,0,148,0,0,148
337,337,0,0,148,0,0,148
338,338,0,0,148,0,0,148
339,339,0,1,148,0,0,148
340,340,0,1,148,0,0,148
341,341,0,0,148,0,0,148
342,342,0,0,148,0,0,147
343,343,0,0,148,0,0,147
344,344,0,1,148,0,0,147
345,345,0,1,148,0,0,147
346,346,0,0,148,0,4,147
347,347,0,0,148,0,-1,148
348,348,0,0,148,0,-1,148
349,349,0,1,148,0,-1,148
350,350,0,1,148,0,-1,148
351,351,0,0,148,0,-13,148
352,352,0,0,148,0,0,148
353,353,0,0,148,0,0,148
354,354,0,1,148,0,0,148
355,355,0,1,148,0,0,148
356,356,0,0,148,0,0,148
357,357,0,0,148,0,0,148
358,358,0,0,148,0,0,148
359,359,0,1,148,0,0,148
360,360,0,1,148,0,0,148
361,361,0,0,148,0,0,148
362,362,0,0,148,0,0,148
363,363,0,0,148,0,0,148
364,364,0,1,148,0,0,148
365,365,0,1,148,0,0,148
366,366,0,0,148,0,0,148
367,367,0,0,148,0,0,148
368,368,0,0,148,0,0,148
369,369,0,1,148,0,0,148
370,370,0,1,148,0,0,148
371,371,0,0,148,0,0,148
372,372,0,0,148,0,0,148
373,373,0,0,148,0,0,148
374,374,0,1,148,0,0,148
375,375,0,1,148,0,0,148
376,376,0,0,148,0,0,148
377,377,0,0,148,0,0,148
378,378,0,0,148,0,0,148
379,379,0,1,148,0,0,148
380,380,0,1,148,0,0,148
381,381,0,0,148,0,0,148
382,382,0,0,148,0,0,148
383,383,0,0,148,0,0,148
384,384,0,1,148,0,0,148
385,385,0,1,148,0,0,148
386,386,0,0,148,0,0,148
387,387,0,0,148,0,0,148
388,388,0,0,148,0,0,148
389,389,0,1,148,0,0,148
390,390,0,1,148,0,0,148
391,391,0,0,148,0,0,148
392,392,0,0,148,0,0,148
393,393,0,0,148,0,0,148
394,394,0,1,148,0,0,148
395,395,0,1,148,0,0,148
396,396,0,0,148,0,0,148
397,397,0,0,148,0,0,148
398,398,0,0,148,0,0,148
399,399,0,1,148,0,0,148
400,400,0,1,148,0,0,148
401,401,0,0,148,0,0,148
402,402,0,0,148,0,0,148
403,403,0,0,148,0,0,148
404,404,0,1,148,0,0,148
405,405,0,1,148,0,0,148
406,406,0,0,148,0,0,148
407,407,0,0,148,0,0,148
408,408,0,0,148,0,0,148
409,409,0,1,148,0,0,148
410,410,0,1,148,0,0,148
411,411,0,0,148,0,0,148
412,412,0,0,148,0,0,148
413,413,0,0,148,0,0,148
414,414,0,1,148,0,0,148
415,415,0,1,148,0,0,148
416,416,0,0,148,0,0,148
417,417,0,0,148,0,0,148
418,418,0,0,148,0,0,148
419,419,0,1,148,0,0,148
420,420,0,1,148,0,0,148
421,421,0,0,148,0,0,148
422,422,0,0,148,0,0,148
423,423,0,0,148,0,0,148
424,424,0,1,148,0,0,148
425,425,0,1,148,0,0,148
